datetime,ciudad,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2010-01-01,London,1.37,45.9,29.6
2010-02-01,London,3.14,77.2,38.3
2010-03-01,London,6.14,42.0,31.6
2010-04-01,London,9.11,21.8,29.9
2010-05-01,London,11.11,33.5,30.9
2010-06-01,London,16.12,36.7,26.0
2010-07-01,London,18.64,24.0,34.8
2010-08-01,London,16.23,116.9,32.5
2010-09-01,London,13.98,38.4,31.9
2010-10-01,London,10.87,68.4,31.1
2010-11-01,London,5.81,53.5,39.8
2010-12-01,London,-0.07,29.4,29.9
2011-01-01,London,4.37,73.8,33.7
2011-02-01,London,6.64,39.7,42.9
2011-03-01,London,6.55,9.9,37.8
2011-04-01,London,12.3,3.3,27.9
2011-05-01,London,13.41,17.8,39.1
2011-06-01,London,15.0,75.2,30.3
2011-07-01,London,15.83,47.5,30.9
2011-08-01,London,16.42,74.5,29.8
2011-09-01,London,15.58,29.3,38.4
2011-10-01,London,13.17,18.0,36.3
2011-11-01,London,10.18,23.8,36.6
2011-12-01,London,6.1,60.4,43.2
2012-01-01,London,5.62,40.1,46.2
2012-02-01,London,3.67,18.1,37.2
2012-03-01,London,7.95,24.2,35.3
2012-04-01,London,7.74,105.4,35.8
2012-05-01,London,12.64,77.1,31.3
2012-06-01,London,14.33,132.6,39.2
2012-07-01,London,16.08,105.6,32.4
2012-08-01,London,17.46,54.1,28.7
2012-09-01,London,13.84,42.9,32.3
2012-10-01,London,10.53,81.4,37.6
2012-11-01,London,6.95,92.7,43.2
2012-12-01,London,5.05,85.8,40.0
2013-01-01,London,3.66,44.9,40.4
2013-02-01,London,2.74,34.9,31.9
2013-03-01,London,2.92,57.7,36.8
2013-04-01,London,7.46,40.4,41.4
2013-05-01,London,10.89,54.2,41.6
2013-06-01,London,14.41,19.8,36.0
2013-07-01,London,19.32,47.4,25.4
2013-08-01,London,17.75,54.6,32.6
2013-09-01,London,14.3,51.1,31.9
2013-10-01,London,12.92,91.4,46.5
